SMILES                                                      Zinc_ID
c1cc(cc(c1)NC(=O)CC)NC(=O)/C=C/c1ccc(cc1)C(=O)N             ZINC81524275
C(#N)c1ccc(cc1)[C@H](C)NC(=O)Nc1cc(ccc1OC)C(=O)N            ZINC45645761
c1cc(cc(c1)O)CC(=O)N1CC[C@@H](C1)Cc1ccc(cc1)C(=O)[O-]       ZINC72469121
c1cc(cc(c1)O)CC(=O)N1CC[C@H](C1)Cc1ccc(cc1)C(=O)[O-]        ZINC72469124
C(#N)c1ccc(cc1)NCC(=O)Nc1c(C#N)c(CCC[NH2+]C)n[nH]1          ZINC89662112
C(#N)c1ccc(cc1)O[C@@H](C(=O)NCc1ccc(cc1)C[NH+](C)C)C        ZINC23962236
c1cc(cc(c1)OCc1nc(c2ccc(cc2)OCC)no1)C(=O)N                  ZINC78385208
c1cc(cc(c1)OCc1nc(c2ccc(cc2)OC)on1)CC(=O)N                  ZINC67099335
c1cc(cc(c1)NC(=O)CNc1cccc(c1C)C(=O)NC)C(=O)C                ZINC79170493
c1cc(C(=O)NC)nc(c1)N1CCN(c2ccc(cc2)C(=O)N)CC1                 ZINC78291175
c1cc(ccc1c1nc(co1)COc1ccc(cc1)CCO)[N+](=O)[O-]                ZINC89740245
c1cc(ccc1C(=O)N)COC(=O)c1ccc(cc1)N1CCOCC1                     ZINC58385277
C(#N)c1ccc(cc1)CSCC(=O)Oc1cccc(c1)C(=O)NC                     ZINC49697501
c1cnccc1c1ncc(cn1)C(=O)NCCCc1csc(n1)N                         ZINC95373325
c1cc(cc(c1)O)CC(=O)N1CCN(c2ccc(cc2)[N+](=O)[O-])CC1           ZINC63535233
C(#N)c1cccc(c1)OCCCCC(=O)Nc1c(cn(C)n1)C(=O)N                  ZINC93282188
c1cc(cc(c1)CNc1ccc(cc1)C(=O)NCCCO)C(=O)NC                     ZINC83141786
c1cc(cc(c1)O)CN1CCN(C(=O)Nc2ccc(cc2)OC)CC1                    ZINC58282183
c1cc(c(cc1CNC(=O)Nc1ccc(nc1)n1cncn1)F)CO                      ZINC56501638
c1cc(cc(c1)O)C(=O)O[C@@H](C(=O)Nc1ccc(cc1)NC(=O)C)C           ZINC09256107
c1cc(ccc1CO)OCC(=O)Nc1ccc(cc1)N1CCOCC1                        ZINC03337666
c1cc(c(cc1CC(=O)NNC(=O)CCc1ccc(cc1)OC)O)C                     ZINC89437810
c1cc(c(cc1CC(=O)NCC(=O)Nc1ccc(cc1)OCC)O)C                     ZINC89438063
c1cc(cc(c1)OCC(=O)Nc1ccc(cc1)N1CCOCC1)CO                      ZINC89128467
c1cc(cc(c1)O)NC(=S)NC(=O)/C=C/c1ccc(cc1)OCC                   ZINC13620949
c1cc(cc(c1)NC(=O)NCCCc1ccc(cc1)OC)C[NH+](C)C                  ZINC56600943
c1cc(c(cc1C(=O)OCC(=O)NC(=O)c1ccc(cc1)OC)O)C                  ZINC08705939
c1cc(cc(c1)O)/C=N/NC(=O)C(=O)Nc1ccc(cc1OC)OC                  ZINC04499509
c1cc(ccc1C(=O)N1CCN(C(=O)CCCn2cncn2)CC1)O                     ZINC77493011
c1cc(ccc1CC[C@H]1CCCCN1C(=O)CCc1cc(=[O-])[nH]o1)O             ZINC55153458
C(#N)c1ccc(cc1)/C=C/C[N@H+]1CC[C@H](c2c[nH]c3c2cccn3)CC1      ZINC91955092
c1cc(cc(c1NCC[NH2+]CCOc1c(non1)N)Cl)[N+](=O)[O-]              ZINC59384047
c1cc(ccc1C(=O)OC)CCC(=O)Nc1ccc(c(c1)C(=O)N)F                  ZINC68088866
c1cc(cc(c1)NCc1ccc(cc1)Oc1cnccn1)c1nc[nH]n1                   ZINC95437430
C(#N)CCN(C(=O)CC[N@@H+]1CC[C@H](C(=O)c2ccc(cc2)O)CC1)C        ZINC92802629
c1cc(cc(c1)O)c1ccc(cn1)c1nc(c2ccc(cc2)OC)no1                  ZINC72148253
c1cc(ccc1C(=O)N)NC(=O)CSCc1ccc(cc1)[N+](=O)[O-]               ZINC24605896
c1cc(cc(c1)O)N1CC[NH+](CC1)CCn1cc(ccc1=O)[N+](=O)[O-]         ZINC90516270
c1cc(ccc1c1ccc(C[NH2+]CCCN2CCOCC2)o1)[C@@H](C)O               ZINC19872330
c1cc(cc(c1)O)CN1CC[NH+](CC1)Cc1ccc(cc1)[S@](=O)C              ZINC92789655
c1ccc(c(c1)/C=[NH+]/[C@@H](c1ccc(cc1)NC(=O)c1ccncc1)C)O       ZINC72613596
c1cc(c(cc1N)NC(=O)CC[N@@H+]1CC[C@@H](C1)Cc1cnn(c1)C)F         ZINC83216954
c1cc(cc(c1)O)C[N@H+]1CCC[C@H](C1)NC(=O)c1cn(CC[NH3+])nn1      ZINC77339169
c1cc(ccc1C(=O)Nc1ccc2c(c1)c(C(=O)N)n[nH]2)n1cnnc1             ZINC89996799
c1cc(ncc1C(=O)Nc1ccc2c(c1)c(C(=O)N)n[nH]2)n1ccnc1             ZINC89996607
c1cc(cc(c1)NC(=O)N)NC(=O)/C=C/c1ccc(cc1)n1ccnc1               ZINC73667858
c1cc(ncc1[N+](=O)[O-])N[C@@H]1CCN(C1)Cc1cc(cs1)C(=O)N         ZINC93534779
C(#N)c1ccc(cc1)N(C(=O)CCc1cccc(c1)C(=O)NC)C1CC1               ZINC89842447
c1cc(cc2c1[nH]nc2C(=O)N)NC(=O)c1cc(c2ccncc2)on1               ZINC89798219
c1cc(cc2c1cc[nH]2)C(=O)Nc1ccc(cc1)OCc1nc(C)no1                ZINC74637981
c1cc(cc(c1)O)c1ncc(cn1)NC(=O)c1cccc(c1)NC(=O)C                ZINC57883189
c1cc(ccc1C(=O)C)C(=O)Nc1ccc(cc1)n1ccc(C(=O)N)n1               ZINC78612334
c1cc(ccc1CC(=O)OCC(=O)Nc1c(ccs1)C(=O)N)OC                     ZINC03406014
c1cc(cc(c1)NC(=O)CCc1cccc(c1)C(=O)NC)c1cn[nH]c1               ZINC90498355
c1cc(cc(c1)[N+](=O)[O-])n1ccc(C(=O)Oc2ccc3cn[nH]c3c2)n1       ZINC86025316
c1cc(cc(c1)O)/C=C\1/C(=O)N(C(=O)S1)CC(=O)NCCC(=O)[O-]         ZINC15050291
c1cc(nc2c1C(=NC=[NH+]2)NCc1cn(c2ccc(cc2)OC)nn1)N              ZINC90110041
c1cc(cc(c1)NC(=O)CCc1ccc(cc1)C(=O)OC)c1cn[nH]c1               ZINC90497709
c1cc2c(cc[nH]2)c(c1)NC(=O)[C@@H]1CC(=O)N(c2ccc(cc2)OC)C1      ZINC72400665
c1cc(cc2c1cc[nH]2)C(=O)Nc1ccc(cc1)CCN1CCOCC1                  ZINC56040168
c1c(csc1C(=O)C)C[N@@H+]1CC[C@H](CC1)Cn1cc([C@@H](C)O)nn1      ZINC19595606
c1cc(cc(c1)CNC(=O)COc1ccc(cc1)C=O)c1nc(C)[nH]n1               ZINC89999025
c1cc(cc(c1)OCCC(=O)Nc1ccc(cc1)c1cc[nH]n1)C(=O)N               ZINC81612028
c1cc(ccc1/C(=C/C(=O)Nc1ccc2c(c1)c(C(=O)N)n[nH]2)/C)OC         ZINC89797128
C(#N)c1ccc(cc1)[C@@H](C)NC(=O)NCc1ccc(cc1)C(=O)NCC            ZINC48851847
C(#N)c1ccc(cc1)[C@H](C)NC(=O)NCc1ccc(cc1)C(=O)NCC             ZINC48851844
c1cc(ccc1C(=O)NCCCc1ccc(cc1)O)n1c(C)nc(C)n1                   ZINC80376254
c1cc(ccc1c1nnco1)OCC(=O)Nc1ccc2c(c1)[nH]c(=O)[nH]2            ZINC07737697
c1cc(cc(c1)OC)c1cc(CC(=O)Nc2ccc(cc2)C(=O)N)no1                ZINC11693194
c1cc(cc2c1cc[nH]2)C(=O)Nc1ccc(cc1)C(=O)NCC(=O)OC              ZINC59008220
C(#N)c1ccc(cc1)N1C(=O)CN(C(=O)c2ccc(c(c2)OC)O)CC1             ZINC77439837
C(#N)c1ccc(cc1)SCC(=O)Nc1ccc2c(c1)c(C(=O)N)n[nH]2             ZINC89797976
C(#N)c1ccc(nc1)O[C@@H]1CC[C@@H](CC1)NC(=O)c1cccc(c1C)O        ZINC92046741
C(#N)c1ccc(nc1)O[C@@H]1CC[C@@H](CC1)NC(=O)c1cc(ccc1O)C        ZINC92035808
C(#N)CCCOc1cccc(c1)NC(=O)c1ccc(c(c1)NC(=O)C)C                 ZINC55570412
c1cc(ccc1c1ccc(CO)o1)NC(=O)c1ccc(c(c1)C)[N+](=O)[O-]          ZINC20140950
c1cc(ccc1C(=O)N)NC(=O)Cn1c(=O)c2cc(ccc2nc1C)O                 ZINC72402082
c1cc(cc(c1)[N+](=O)[O-])/C=C/C(=O)N1CC[C@H](c2ccc(cc2)O)CC1   ZINC73394899
C(#N)COc1ccc(cc1)/C=C/C(=O)N[C@H](c1cccc(c1)OC)CO             ZINC92626125
C(#N)c1ccc(cc1)CN(C(=O)Nc1cc(ccc1OC)C(=O)NC)C                   ZINC57701619
c1ccc(c(c1)[C@H](CNCc1ccc(cc1)OCc1ccncc1)O)F                    ZINC79924850
C(#N)CSc1cccc(c1)C(=O)Oc1cccc(c1)C(=O)NC1CC1                    ZINC79413246
c1cc(ccc1c1ccc(cc1)Nc1nc(cs1)C(=O)NC)C(=O)N                     ZINC27914127
c1cc(cc(c1)C[NH2+]Cc1ccc(cc1)OCC(=O)N)c1nc(C)[nH]n1             ZINC89796252
c1cc(cc(c1)OC)/C=C/C(=O)N1CCN(CC1)Cc1cccc(c1)O                  ZINC86247077
c1cc(cc(c1)OCc1coc(c2ccc(cc2)[N+](=O)[O-])n1)CC(=O)N            ZINC89737217
c1cc(ccc1c1nc(C(=O)NC)on1)COc1ccc2c(c1)OCO2                     ZINC32094141
c1cc(ccc1c1ccc(CO)o1)NC(=O)c1ccc(c(c1)OC)OC                     ZINC20143233
C(#N)c1ccc(cc1F)OCc1csc(c2ccc(cc2)C(=O)N)n1                     ZINC66750305
C(#N)c1ccc(nc1)O[C@@H]1CC[C@@H](CC1)NC(=O)c1cc(c[nH]1)C(=O)N    ZINC92045919
c1cc(ccc1CCNC(=O)[C@@H](C)Oc1ccc(cc1)n1cnnn1)O                  ZINC27976105
c1cc(ccc1c1ccc(C(=O)NCc2cc3C[NH2+]CCn3n2)o1)OC                  ZINC82092326
C(#N)Cc1ccc(cc1)OCCNc1cccc(c1C)C(=O)NCCO                        ZINC81182408
c1cc(ccc1C(=O)N)C(=O)NCc1ccc(cc1)CN1CCOCC1                      ZINC29716311
c1cc(ccc1C(=O)N)C[N@@H+]1CC[C@H](C(=O)c2ccc(cc2)OC)CC1          ZINC14327441
c1cc(ccc1C(=O)N)CN1CC[NH+](CC1)Cc1ccc(cc1)C(=O)N                ZINC27343080
c1cc(ccc1C(=O)N)NC(=O)[C@H](C)Oc1ccc(cc1)CCC(=O)C               ZINC03328034
